Sample,Group
SRR2969807,Middle East
SRR2969860,Qatari
SRR2969936,Middle East
SRR2130833,Qatari
SRR2130565,Qatari
SRR2969953,South Asia
SRR2969786,Qatari
SRR2130650,Qatari
SRR2125288,Qatari
SRR2130439,Qatari
SRR2130896,Qatari
SRR2130589,Qatari
SRR2130402,Qatari
SRR2125295,Qatari
SRR2141721,Qatari
SRR2130750,Qatari
SRR2141770,Qatari
SRR2130953,Qatari
SRR2130512,Qatari
SRR2130838,Qatari
SRR2130467,Qatari
SRR2130754,Qatari
SRR2969794,South Asia
SRR2969658,Qatari
SRR2141745,Qatari
SRR2969731,Middle East
SRR2130722,Qatari
SRR2969744,Middle East
SRR2130399,Qatari
SRR2130564,Qatari
SRR2969781,Middle East
SRR2130363,Qatari
SRR2969908,America
SRR2969667,Qatari
SRR2125435,Qatari
SRR2125358,Qatari
SRR2969803,South Asia
SRR2130685,Qatari
SRR2969835,Africa
SRR2130681,Qatari
SRR2125381,Qatari
SRR2130870,Qatari
SRR2130579,Qatari
SRR2969761,South Asia
SRR2125346,Qatari
SRR2969951,Qatari
SRR2969791,South Asia
SRR2125433,Qatari
SRR2130845,Qatari
SRR2969612,Qatari
SRR2141756,Qatari
SRR2130878,Qatari
SRR2141792,Qatari
SRR2969861,Middle East
SRR2130525,Qatari
SRR2130684,Qatari
SRR2969639,Qatari
SRR2141733,Qatari
SRR2969873,Middle East
SRR2130361,Qatari
SRR2130781,Qatari
SRR2130869,Qatari
SRR2130979,Qatari
SRR2969945,Africa
SRR2130567,Qatari
SRR2130931,Qatari
SRR2130461,Qatari
SRR2130828,Qatari
SRR2969903,Middle East
SRR2969867,Middle East
SRR2141799,Qatari
SRR2130605,Qatari
SRR2130499,Qatari
SRR2130586,Qatari
SRR2130863,Qatari
SRR2130827,Qatari
SRR2141747,Qatari
SRR2969921,Qatari
SRR2969709,Qatari
SRR2130393,Qatari
SRR2125356,Qatari
SRR2130895,Qatari
SRR2141766,Qatari
SRR2969767,Middle East
SRR2130396,Qatari
SRR2130775,Qatari
SRR2130644,Qatari
SRR2969776,Middle East
SRR2969879,Qatari
SRR2130591,Qatari
SRR2130806,Qatari
SRR2130807,Qatari
SRR2969857,Middle East
SRR2969769,South Asia
SRR2130547,Qatari
SRR2969734,Middle East
SRR2130961,Qatari
SRR2969649,Qatari
SRR2130733,Qatari
SRR2130528,Qatari
SRR2969783,Qatari
SRR2969915,Africa
SRR2130967,Qatari
SRR2969713,Qatari
SRR2125278,Qatari
SRR2130796,Qatari
SRR2130891,Qatari
SRR2125366,Qatari
SRR2130678,Qatari
SRR2130943,Qatari
SRR2130578,Qatari
SRR2130791,Qatari
SRR2969719,Middle East
SRR2969615,Qatari
SRR2130802,Qatari
SRR2130689,Qatari
SRR2130839,Qatari
SRR2125432,Qatari
SRR2130369,Qatari
SRR2969647,Qatari
SRR2130735,Qatari
SRR2969813,Middle East
SRR2130683,Qatari
SRR2130903,Qatari
SRR2969739,Middle East
SRR2969785,Qatari
SRR2130569,Qatari
SRR2130590,Qatari
SRR2125355,Qatari
SRR2969657,Qatari
SRR2130965,Qatari
SRR2130959,Qatari
SRR2969932,Middle East
SRR2130492,Qatari
SRR2130670,Qatari
SRR2130687,Qatari
SRR2969614,Middle East
SRR2141771,Qatari
SRR2130536,Qatari
SRR2130899,Qatari
SRR2130859,Qatari
SRR2130746,Qatari
SRR2130867,Qatari
SRR2130894,Qatari
SRR2130611,Qatari
SRR2130926,Qatari
SRR2969850,Africa
SRR2969886,Middle East
SRR2130621,Qatari
SRR2969740,Middle East
SRR2130728,Qatari
SRR2141798,Qatari
SRR2130944,Qatari
SRR2125413,Qatari
SRR2130380,Qatari
SRR2969711,Qatari
SRR2125387,Qatari
SRR2141731,Qatari
SRR2130372,Qatari
SRR2130847,Qatari
SRR2130524,Qatari
SRR2130642,Qatari
SRR2141787,Qatari
SRR2969816,Middle East
SRR2141748,Qatari
SRR2141782,Qatari
SRR2130858,Qatari
SRR2141720,Qatari
SRR2969897,Qatari
SRR2130809,Qatari
SRR2969697,Qatari
SRR2130550,Qatari
SRR2969955,South Asia
SRR2130606,Qatari
SRR2130658,Qatari
SRR2125334,Qatari
SRR2130581,Qatari
SRR2130543,Qatari
SRR2125361,Qatari
SRR2130427,Qatari
SRR2130409,Qatari
SRR2969637,Qatari
SRR2130720,Qatari
SRR2130777,Qatari
SRR2141716,Qatari
SRR2130677,Qatari
SRR2969892,Middle East
SRR2130466,Qatari
SRR2969885,Middle East
SRR2969624,Qatari
SRR2969894,Qatari
SRR2130850,Qatari
SRR2969665,Qatari
SRR2969874,Middle East
SRR2969795,Middle East
SRR2130513,Qatari
SRR2130855,Qatari
SRR2969937,Middle East
SRR2141737,Qatari
SRR2130375,Qatari
SRR2969817,Middle East
SRR2125292,Qatari
SRR2130981,Qatari
SRR2969693,Qatari
SRR2130759,Qatari
SRR2969617,Qatari
SRR2969648,Qatari
SRR2125428,Qatari
SRR2969679,Qatari
SRR2130448,Qatari
SRR2130779,Qatari
SRR2130709,Qatari
